project_id,title,author,views,loves,favorites,comments,remix_count,theme,source,love_rate,favorite_rate,remix_rate,engagement_score,number_of_sprites,number_of_blocks,number_of_scripts,scripts_per_sprite,broadcasts,clones,custom_blocks,advanced_feature_count,complexity_score
477695405,SVE tutorial!,Waleo,23850,2857,2101,0,0,tutorial,scratch_search_popular,0.1197903563941299,0.0880922431865828,0.0,0.0711740041928721,2,59,3,1.5,0,0,0,0,109.0
269109930,BULLYING (Animation),Mushy_Mushi,36391,3487,2725,0,0,animation,scratch_search_popular,0.0958203951526476,0.0748811519331702,0.0,0.0586985793190624,6,257,18,3.0,23,0,0,23,1067.0
554226832,Kleki tutorial,cherrei,24987,2483,1604,0,0,tutorial,scratch_search_popular,0.0993716732701004,0.0641933805578901,0.0,0.0554888542041861,10,135,36,3.6,21,3,0,24,1027.0
468866971,Animated thumbnail tutorial!!!,737942,29751,2610,2123,0,0,tutorial,scratch_search_popular,0.087728143591812,0.0713589459177842,0.0,0.0548620214446573,3,251,23,7.666666666666667,3,15,16,34,1454.3333333333337
397530232,THE LAZY! (Animation),-BoyMcBoy-,104428,8387,7143,0,0,animation,scratch_search_popular,0.0803137089669437,0.0684011950817788,0.0,0.0514545907227946,2,202,11,5.5,9,6,0,15,782.0
119889912,Scratch: Story Mode | Trailer,-Cinematic-,39230,3133,2615,0,0,story,scratch_search_popular,0.0798623502421616,0.0666581697680346,0.0,0.0506219729798623,13,266,38,2.923076923076923,39,0,0,39,1624.4615384615386
494719268,Glitch Effect Tutorial,Daizy_Gaming,33355,2691,2101,0,0,tutorial,scratch_search_popular,0.0806775595862689,0.0629890571128766,0.0,0.0493988907210313,1,35,7,7.0,0,0,0,0,185.0
174052269,Animation Tutorial,FUZZIE-WEASEL,76260,5456,4649,0,0,animation,scratch_search_popular,0.0715447154471544,0.0609624967217414,0.0,0.0458484133228429,14,512,35,2.5,0,8,8,16,1182.0
237666320,Music Visualiser,awesome-llama,28925,2120,1648,0,0,music,scratch_search_popular,0.0732929991356957,0.0569749351771823,0.0,0.0447778738115816,4,451,24,6.0,11,2,13,26,1391.0
416447487,glitter • texture tutorial,SunnyDays-,29989,2271,1570,0,0,tutorial,scratch_search_popular,0.0757277668478442,0.0523525292607289,0.0,0.0436593417586448,1,41,9,9.0,2,0,0,2,291.0
